ime,lokacija,datum,cena
Britanska kratkodlaka mačka / Britanka,"Brežice, Brežice",10.05.2024,600 €
Maine Coon z rodovnikom / MCO,"Ig, Ig",07.05.2024,Cena po dogovoru
Prodam čisto krvne britanke,"Trnovska vas, Trnovska vas",14.05.2024,0 €
Maine coon samička,"Idrija, Idrija",14.05.2024,Cena po dogovoru
Britanka,"Krško, Libna",14.05.2024,450 €
Bengalski mačići,Hrvaška,14.05.2024,Cena po dogovoru
Maine Coon mladiči,"Maribor, Za Kalvarijo",14.05.2024,400 €
Mucek,"Maribor okolica, Kamnica",14.05.2024,0 €
Prodajamo  Ragdoll mladiče,"Lenart v Slovenskih goricah, Lenart v Slovenskih goricah",14.05.2024,480 €
Prodam mladicke  kratkodlake britanke,"Maribor, Tabor",14.05.2024,450 €
"Gradiška cesta 9,Vipava","Vipava, Gradišče pri Vipavi",14.05.2024,Cena po dogovoru
Maine coon samička,"Slovenj Gradec, Mislinjska Dobrava",13.05.2024,0 €
MLADIČKI MAINE COON,"Koper, Dekani",13.05.2024,450 €
Britanka - mladički,"Trbovlje, Trbovlje",13.05.2024,600 €
Sveta birmanska mačka,"Ljubljana Moste Polje, Kodeljevo",13.05.2024,Cena po dogovoru
Maine coon mladički,"Medvode, Verje",13.05.2024,Cena po dogovoru
"Šarhova ulica 23, Maribor","Maribor, Studenci",13.05.2024,0 €
Bengalska macka,"Maribor, Ostalo",12.05.2024,Cena po dogovoru
Britanka kratkodlaka,"Apače, Lutverci",12.05.2024,450 €
Kozloviči 13,"Koper, Kozloviči",12.05.2024,0 €
Perzijska mačka,"Krško, Raka",12.05.2024,Cena po dogovoru
"Britanska kratkodlaka mačka, WCF rodovnik, Luxnavita&#039;s Cattery",Avstrija,12.05.2024,Cena po dogovoru
Podarim dve leti starega muca,"Vrhnika, Vrhnika",12.05.2024,0 €
Bengalska mačka - SILVER MLADIČKI - slovenski rodovnik FIFe,"Trebnje, Brezovica pri Mirni",12.05.2024,900 €
Maine Coon miceki,"Zagreb mesto, Gornja Dubrava",11.05.2024,380 €
Maine coon XXL Linija shaded gen,"Zagrebška, Zaprešić - Okolica",11.05.2024,Cena po dogovoru
Britanke,"Makole, Stari Grad",11.05.2024,350 €
